x	y	category	mutation_count
52	159	1	7880
52	160	1	5702
52	173	1	6229
53	47	1	7407
53	51	1	6481
53	52	1	8548
53	54	1	5385
53	55	1	6447
53	58	1	5517
53	61	1	6162
53	64	1	5587
53	67	1	8088
53	69	1	5826
53	71	1	6686
53	72	1	7025
53	74	1	6511
53	76	1	7655
53	77	1	4950
53	78	1	5264
53	82	1	7982
53	83	1	6308
53	84	1	9487
53	88	1	7378
53	92	1	6335
53	94	1	7372
53	95	1	6059
53	101	1	5381
53	103	1	8902
53	105	1	4567
53	108	1	6306
53	109	1	6614
53	113	1	4844
53	116	1	8600
53	117	1	4446
53	118	1	5313
53	119	1	7881
53	120	1	7407
53	123	1	8298
53	124	1	7250
53	127	1	7708
53	130	1	9479
53	131	1	7219
53	134	1	8109
53	135	1	7092
53	137	1	5864
53	138	1	7130
53	139	1	6940
53	141	1	7114
53	142	1	4723
53	143	1	5417
53	149	1	6268
53	152	1	5635
53	155	1	8772
53	158	1	4980
53	164	1	4897
53	176	1	6777
54	37	1	4833
54	45	1	4431
54	50	1	5610
54	57	1	6669
54	62	1	5872
54	65	1	7395
54	67	1	4593
54	69	1	7603
54	70	1	6725
54	71	1	7100
54	76	1	6761
54	80	1	5310
54	82	1	7500
54	84	1	8027
54	86	1	4608
54	89	1	4690
54	91	1	4803
54	95	1	3774
54	96	1	8336
54	97	1	7477
54	101	1	6215
54	102	1	5312
54	105	1	8224
54	107	1	8042
54	108	1	6165
54	109	1	9411
54	110	1	6023
54	112	1	6368
54	119	1	7277
54	124	1	7192
54	127	1	5427
54	129	1	5812
54	130	1	5717
54	131	1	7706
54	134	1	7179
54	145	1	8913
54	146	1	6971
54	147	1	7260
54	148	1	6507
54	149	1	8520
54	156	1	3602
54	157	1	4787
54	159	1	7667
54	164	1	7091
54	169	1	7099
54	172	1	5096
55	16	1	9190
55	48	1	5573
55	49	1	6013
55	52	1	5839
55	53	1	5410
55	57	1	5389
55	65	1	6371
55	67	1	4902
55	71	1	6324
55	72	1	4797
55	74	1	5638
55	76	1	6084
55	77	1	8633
55	84	1	5847
55	87	1	8567
55	88	1	6862
55	89	1	5496
55	95	1	10611
55	97	1	6966
55	98	1	6033
55	100	1	4159
55	105	1	5339
55	107	1	6842
55	109	1	7264
55	110	1	5410
55	111	1	7165
55	117	1	6075
55	119	1	5831
55	121	1	7294
55	125	1	5841
55	129	1	9682
55	134	1	5277
55	135	1	5214
55	137	1	8256
55	138	1	5808
