s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean
0,0.3,0,0.6,0.6,16,0,59,200,2,0,1.42,4.081176925,147,NA,47.47916667,232.0384615,0.204617658,2,26,-0.054993279,0.384615385,1,2,19,10,16,26,0.189540699
0.6,0.3,1.00E-06,1,0.6,16,0,3,200,2,0,1.25,2.350157748,55,NA,31,214.7692308,0.144340974,2,13,-0.129498279,0.307692308,1,2,9,4,9,13,0.201699708
0.4,0.3,1.00E-06,1,0.6,16,0,45,200,2,0,1.41,4.445179609,113,NA,43.25925926,190.8166667,0.226705874,2,20,0.454520686,0.4,1,2,16,12,8,20,0.276001216
0,0.3,0,0.4,0.6,16,0,17,200,2,0,1.38,3.335322298,130,NA,42.4375,248.3269231,0.170893673,2,26,-0.708839432,0.384615385,1,2,16,16,10,26,0.150971968
0,0.3,0,0.6,0.6,16,0,89,200,2,0,1.38,4.342464446,125,NA,43.95454545,235.3958333,0.186726098,2,24,-0.343583022,0.5,1,2,14,12,12,24,0.214004259
0.4,0.3,1.00E-06,1,0.6,16,0,25,200,2,0,1.36,3.236872008,116,NA,44.6,229.3181818,0.194489594,2,22,-0.108899228,0.409090909,1,2,14,13,9,22,0.182597588
0,0.3,0,0.4,0.6,16,0,79,200,3,0,1.5,5.511377142,136,NA,58.36363636,253.0416667,0.230648324,3,24,0.114750311,0.25,1,2,9,11,7,18,0.300944138
0,0.3,0,0.4,0.6,16,0,79,200,3,0,1.5,5.511377142,136,NA,58.36363636,253.0416667,0.230648324,3,24,0.114750311,0.25,1,3,8,11,6,17,0.388480001
0,0.3,0,0.4,0.6,16,0,79,200,3,0,1.5,5.511377142,136,NA,58.36363636,253.0416667,0.230648324,3,24,0.114750311,0.25,2,3,5,7,6,13,0.412698062
0,0.3,0,0,0.6,16,0,4,200,3,0,1.54,1.871409001,135,NA,251.4130435,1261.98,0.1992211,3,25,-0.231916356,0.16,1,3,15,7,14,21,0.066760997
0,0.3,0,0,0.6,16,0,4,200,3,0,1.54,1.871409001,135,NA,251.4130435,1261.98,0.1992211,3,25,-0.231916356,0.16,2,3,10,4,14,18,0.098668877
0,0.3,0,0.6,0.6,16,0,24,200,2,0,1.29,4.568964144,132,NA,46.11805556,243.6794872,0.189257028,2,26,-0.631916356,0.384615385,1,2,14,16,10,26,0.22849481
0.4,0.3,1.00E-06,1,0.6,16,0,108,200,2,0,1.4,4.150536486,83,NA,33.21875,149.8888889,0.221622498,2,18,-0.379105045,0.388888889,1,2,15,11,7,18,0.287295471
0.4,0.3,1.00E-06,1,0.6,16,0,100,200,2,0,1.33,3.719138218,147,NA,39.20833333,231.8461538,0.169113581,2,26,-0.054993279,0.423076923,1,2,15,11,15,26,0.174612085
0,0.3,0,0.8,0.6,16,0,46,200,2,0,1.38,3.020895522,126,NA,42.06818182,239.9791667,0.175299308,2,24,-0.301916356,0.25,1,2,14,6,18,24,0.163905262
0,0.3,1.00E-06,1,0.6,16,0,7,200,2,0,1.42,3.288804567,136,NA,49.45833333,232.2692308,0.212935365,2,26,-0.478070202,0.384615385,1,2,17,16,10,26,0.147941492
0.4,0.3,1.00E-06,1,0.6,16,0,17,200,2,0,1.3,3.775736561,79,NA,28.23333333,125.0294118,0.225813534,2,17,-0.232046222,0.235294118,1,2,10,4,13,17,0.338029036
0,0.3,1.00E-06,1,0.6,16,0,26,200,2,0,1.42,3.761803582,135,NA,44.39583333,229.0576923,0.193819439,2,26,-0.51653174,0.423076923,1,2,18,15,11,26,0.174458915
0.4,0.3,1.00E-06,1,0.6,16,0,91,200,3,0,1.44,1.850196835,42,NA,23.16666667,131.2272727,0.176538506,3,11,-0.221572872,0.181818182,1,2,7,5,4,9,0.154242849
0.4,0.3,1.00E-06,1,0.6,16,0,91,200,3,0,1.44,1.850196835,42,NA,23.16666667,131.2272727,0.176538506,3,11,-0.221572872,0.181818182,1,3,4,5,2,7,0.244070882
0.4,0.3,1.00E-06,1,0.6,16,0,91,200,3,0,1.44,1.850196835,42,NA,23.16666667,131.2272727,0.176538506,3,11,-0.221572872,0.181818182,2,3,1,4,2,6,0.210499522
0.2,0.3,1.00E-06,1,0.6,16,0,47,200,2,0,1.29,3.661781291,135,NA,43.875,245.7692308,0.178521127,2,26,-0.51653174,0.192307692,1,2,11,5,21,26,0.229137294
0,0.3,0,0,0.6,16,0,13,200,2,0,1.33,1.823980612,132,NA,257.6666667,1256.541667,0.205060185,2,24,-0.051916356,0.333333333,1,2,14,8,16,24,0.060187245
0.4,0.3,1.00E-06,1,0.6,16,0,57,200,2,0,1.4,4.541533176,103,NA,45.55882353,180.8421053,0.251925974,2,19,0.325573317,0.315789474,1,2,12,13,6,19,0.317568806
0,0.3,1.00E-06,1,0.6,16,0,76,200,2,0,1.33,5.593747306,127,NA,44.11363636,248.625,0.177430413,2,24,-0.260249689,0.416666667,1,2,13,10,14,24,0.272463992
0.6,0.3,1.00E-06,1,0.6,16,0,144,200,2,0,1.28,4.393852745,67,NA,33.98717949,129.4444444,0.262561902,2,15,-0.16979132,0.333333333,1,2,10,5,10,15,0.356590064
0,0.3,0,0,0.6,16,0,25,200,2,0,1.33,1.905955973,118,NA,277.25,1292.5,0.21450677,2,24,-0.635249689,0.166666667,1,2,10,4,20,24,0.117389812
0.4,0.3,1.00E-06,1,0.6,16,0,50,200,2,0,1.2,2.839651783,102,NA,25.16666667,137.2962963,0.183301861,2,18,0.67645051,0.111111111,1,2,5,2,16,18,0.378210216
0,0.3,1.00E-06,1,0.6,16,0,98,200,2,0,1.38,3.976487459,118,NA,37.93181818,237.3541667,0.159811048,2,24,-0.635249689,0.458333333,1,2,14,13,11,24,0.197682666
0.4,0.3,1.00E-06,1,0.6,16,0,37,200,2,0,1.38,3.853052904,130,NA,38.02083333,257.1153846,0.147874595,2,26,-0.708839432,0.461538462,1,2,16,12,14,26,0.178933471
0.4,0.3,1.00E-06,1,0.6,16,0,72,200,2,0,1.38,3.332463743,115,NA,40.77272727,227.7083333,0.179056808,2,24,-0.760249689,0.5,1,2,16,12,12,24,0.162817203
0.4,0.3,1.00E-06,1,0.6,16,0,32,200,2,0,1.33,3.092516978,145,NA,47.22916667,236.9038462,0.199360067,2,26,-0.131916356,0.384615385,1,2,14,16,10,26,0.15317715
0,0.3,0,0.2,0.6,16,0,12,200,2,0,1.38,4.403139474,126,NA,56.20454545,274.875,0.204473108,2,24,-0.301916356,0.333333333,1,2,14,8,16,24,0.229612891
0,0.3,1.00E-06,1,0.6,16,0,25,200,3,0,1.5,2.742984077,129,NA,40.86363636,240.5416667,0.169881738,3,24,-0.176916356,0.291666667,1,2,9,10,7,17,0.163773693
0,0.3,1.00E-06,1,0.6,16,0,25,200,3,0,1.5,2.742984077,129,NA,40.86363636,240.5416667,0.169881738,3,24,-0.176916356,0.291666667,1,3,10,10,7,17,0.170591415
0,0.3,1.00E-06,1,0.6,16,0,25,200,3,0,1.5,2.742984077,129,NA,40.86363636,240.5416667,0.169881738,3,24,-0.176916356,0.291666667,2,3,5,7,7,14,0.19654352
