s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean,whole_adv_freq
0.4,0.3,1.00E-06,1,0.6,16,0,180,200,2,0,1.38,2.764818849,135,NA,41.62878788,246.9236111,0.168589742,2,24,0.073083644,0.458333333,1,2,15,11,13,24,0.126554626,0
0.4,0.3,1.00E-06,1,0.6,16,0,182,200,2,0,1.45,3.105498368,77,NA,41.0625,212.2777778,0.193437582,2,18,-0.712438379,0.5,1,2,18,9,9,18,0.188343406,0.123442136
0.6,0.3,1.00E-06,1,0.6,16,0,199,200,2,0,1.38,4.110821402,168,NA,49.52083333,247.8846154,0.199773726,2,26,0.752699029,0.423076923,1,2,17,15,11,26,0.189008719,0.003389831
0.6,0.3,1.00E-06,1,0.6,16,0,84,200,2,0,1.36,3.045939901,160,NA,13.5,85.5952381,0.157719054,2,21,2.32833021,0.380952381,1,2,14,8,13,21,0.166399331,0.501962495
0.4,0.3,1.00E-06,1,0.6,16,0,31,200,2,0,1.4,3.208295917,89,NA,44.5,210.35,0.211552175,2,20,-0.745479314,0.5,1,2,14,10,10,20,0.181495092,0.155154091
0.6,0.3,1.00E-06,1,0.6,16,0,4,200,2,0,1.28,3.738045181,66,NA,43.70833333,163.8571429,0.266746585,2,14,0.211161061,0.357142857,1,2,9,5,9,14,0.299414501,0.272522523
0.4,0.3,1.00E-06,1,0.6,16,0,166,200,2,0,1.33,4.682384198,137,NA,46.64583333,250.6923077,0.186068068,2,26,-0.439608663,0.423076923,1,2,14,15,11,26,0.218983561,0
0.4,0.3,1.00E-06,1,0.6,16,0,65,200,2,0,1.35,2.797617538,105,NA,19.94444444,117.55,0.169667754,2,20,0.054520686,0.4,1,2,13,8,12,20,0.148588285,0.478651685
0.2,0.3,1.00E-06,1,0.6,16,0,69,200,2,0,1.38,3.801378391,129,NA,41.36363636,240.4375,0.17203488,2,24,-0.176916356,0.333333333,1,2,16,8,16,24,0.189410408,0.01797235
0.6,0.3,1.00E-06,1,0.6,16,0,44,200,3,0,1.58,2.688200891,124,NA,40.13636364,231.7708333,0.173172625,3,24,-0.385249689,0.291666667,1,2,7,8,7,15,0.17999254,0
0.6,0.3,1.00E-06,1,0.6,16,0,44,200,3,0,1.58,2.688200891,124,NA,40.13636364,231.7708333,0.173172625,3,24,-0.385249689,0.291666667,1,3,7,8,9,17,0.162250704,0
0.6,0.3,1.00E-06,1,0.6,16,0,44,200,3,0,1.58,2.688200891,124,NA,40.13636364,231.7708333,0.173172625,3,24,-0.385249689,0.291666667,2,3,7,7,9,16,0.172182103,0
0.4,0.3,1.00E-06,1,0.6,16,0,12,200,2,0,1.3,4.365141183,82,NA,40.43333333,178.3823529,0.226666667,2,17,-0.055575634,0.294117647,1,2,9,5,12,17,0.358099477,0.281804359
0.4,0.3,1.00E-06,1,0.6,16,0,199,200,2,0,1.33,3.599386226,135,NA,46.84090909,239.75,0.195373969,2,24,0.073083644,0.25,1,2,13,6,18,24,0.21049605,0.001472754
0.2,0.3,1.00E-06,1,0.6,16,0,17,200,2,0,1.38,3.22060316,130,NA,44.52083333,244.5,0.182089298,2,26,-0.708839432,0.384615385,1,2,16,10,16,26,0.147631811,0
0.4,0.3,1.00E-06,1,0.6,16,0,168,200,2,0,1.38,3.391830437,130,NA,20.04545455,111.2916667,0.180116402,2,24,-0.135249689,0.375,1,2,15,9,15,24,0.173615327,0.490687951
0.4,0.3,1.00E-06,1,0.6,16,0,98,200,2,0,1.35,3.219966084,124,NA,19.46875,103.6388889,0.187851782,2,18,1.898672732,0.388888889,1,2,11,11,7,18,0.203518007,0.469121813
0.2,0.3,1.00E-06,1,0.6,16,0,32,200,2,0,1.33,2.97214279,147,NA,47.20833333,236.8846154,0.199288304,2,26,-0.054993279,0.384615385,1,2,14,16,10,26,0.147397742,0
0.4,0.3,1.00E-06,1,0.6,16,0,106,200,3,0,1.54,3.023318422,135,NA,37.74305556,227.75,0.165721429,3,26,-0.51653174,0.307692308,1,2,8,8,10,18,0.16407484,0
0.4,0.3,1.00E-06,1,0.6,16,0,106,200,3,0,1.54,3.023318422,135,NA,37.74305556,227.75,0.165721429,3,26,-0.51653174,0.307692308,1,3,6,8,8,16,0.208788727,0
0.4,0.3,1.00E-06,1,0.6,16,0,106,200,3,0,1.54,3.023318422,135,NA,37.74305556,227.75,0.165721429,3,26,-0.51653174,0.307692308,2,3,10,10,8,18,0.183271649,0
0.6,0.3,1.00E-06,1,0.6,16,0,183,200,2,0,1.39,4.465824205,61,NA,43.61538462,158.2333333,0.275639675,2,15,-0.56979132,0.333333333,1,2,12,5,10,15,0.385139784,0.298342541
0.4,0.3,1.00E-06,1,0.6,16,0,5,200,2,0,1.38,4.507318179,132,NA,48.47222222,246.275641,0.196821017,2,26,-0.631916356,0.5,1,2,14,13,13,26,0.211852367,0
0.2,0.3,1.00E-06,1,0.6,16,0,63,200,2,0,1.33,4.190792379,134,NA,46.08695652,250.66,0.183862429,2,25,-0.271916356,0.44,1,2,13,11,14,25,0.198372259,0
0.2,0.3,1.00E-06,1,0.6,16,0,22,200,2,0,1.38,3.237955863,113,NA,35.52272727,228.6875,0.155333052,2,24,-0.843583022,0.458333333,1,2,14,11,13,24,0.157045104,0
0.6,0.3,1.00E-06,1,0.6,16,0,31,200,2,0,1.3,7.171840482,107,NA,37.62745098,141,0.266861354,2,19,0.536099633,0.210526316,1,2,11,4,15,19,0.520038807,0.339754816
0.6,0.3,1.00E-06,1,0.6,16,0,179,200,2,0,1.35,2.33324338,103,NA,19.29411765,103.3684211,0.186653888,2,19,0.325573317,0.315789474,1,2,12,6,13,19,0.124243869,0.455223881
0.4,0.3,1.00E-06,1,0.6,16,0,8,200,2,0,1.4,3.915035693,84,NA,24.6875,114.4444444,0.215716019,2,18,-0.32354949,0.388888889,1,2,13,11,7,18,0.245978847,0.467168999
0.2,0.3,1.00E-06,1,0.6,16,0,25,200,2,0,1.33,2.970148033,139,NA,49.18181818,241.2083333,0.203897674,2,24,0.239750311,0.375,1,2,15,9,15,24,0.144104276,0
0.6,0.3,1.00E-06,1,0.6,16,0,19,200,2,0,1.42,3.826772596,125,NA,48.08333333,226.5486111,0.212242896,2,24,-0.343583022,0.375,1,2,14,9,15,24,0.193576133,0
0.2,0.3,1.00E-06,1,0.6,16,0,62,200,2,0,1.29,4.932214272,140,NA,49.77083333,246.5576923,0.201862829,2,26,-0.324224048,0.384615385,1,2,15,10,16,26,0.236107088,0
0.6,0.3,1.00E-06,1,0.6,16,0,75,200,2,0,1.4,2.477518724,92,NA,20.87254902,105.6666667,0.19753201,2,19,-0.253374051,0.421052632,1,2,13,8,11,19,0.135668649,0.469361702
0.4,0.3,1.00E-06,1,0.6,16,0,61,200,2,0,1.29,3.306073866,164,NA,44.75,235.9615385,0.189649552,2,26,0.598852875,0.230769231,1,2,13,6,20,26,0.179628111,0
0.4,0.3,1.00E-06,1,0.6,16,0,196,200,2,0,1.3,3.329539978,95,NA,37.64814815,214.0666667,0.175871137,2,20,-0.445479314,0.4,1,2,12,12,8,20,0.191553086,0.096173733
0.6,0.3,1.00E-06,1,0.6,16,0,158,200,2,0,1.29,4.112474146,136,NA,53.5,233.9615385,0.228670064,2,26,-0.478070202,0.346153846,1,2,15,17,9,26,0.205973907,0
0.2,0.3,1.00E-06,1,0.6,16,0,65,200,2,0,1.33,4.215069581,123,NA,52.64393939,235.5763889,0.223468658,2,24,-0.426916356,0.333333333,1,2,14,16,8,24,0.23519228,0.055237316
0.2,0.3,1.00E-06,1,0.6,16,0,76,200,2,0,1.33,6.586445648,148,NA,52.20833333,238.3461538,0.219044161,2,26,-0.01653174,0.384615385,1,2,15,10,16,26,0.298492902,0.00092908
0.4,0.3,1.00E-06,1,0.6,16,0,67,200,2,0,1.33,3.211928181,135,NA,42.23913043,237.06,0.17817907,2,25,-0.231916356,0.32,1,2,15,17,8,25,0.16447758,0
0.6,0.3,1.00E-06,1,0.6,16,0,130,200,2,0,1.3,6.482141568,92,NA,27.78431373,101,0.275092215,2,19,-0.253374051,0.210526316,1,2,11,15,4,19,0.460958394,0.436445444
0.4,0.3,1.00E-06,1,0.6,16,0,152,200,2,0.21,1.35,2.384588341,59,NA,24.875,125.9642857,0.197476609,2,14,-0.288838939,0.142857143,1,2,6,2,12,14,0.30894569,0.449056604
0.4,0.3,1.00E-06,1,0.6,16,0,30,200,3,0,1.55,3.332495947,81,NA,48.28125,219.7777778,0.219682128,3,18,-0.490216156,0.277777778,1,2,7,8,5,13,0.276822384,0.063323202
0.4,0.3,1.00E-06,1,0.6,16,0,30,200,3,0,1.55,3.332495947,81,NA,48.28125,219.7777778,0.219682128,3,18,-0.490216156,0.277777778,1,3,5,8,5,13,0.256993179,0.063323202
0.4,0.3,1.00E-06,1,0.6,16,0,30,200,3,0,1.55,3.332495947,81,NA,48.28125,219.7777778,0.219682128,3,18,-0.490216156,0.277777778,2,3,5,5,5,10,0.321564215,0.063323202
0.2,0.3,1.00E-06,1,0.6,16,0,28,200,2,0,1.38,3.717543654,117,NA,43.06818182,233.9375,0.184101231,2,24,-0.676916356,0.5,1,2,14,12,12,24,0.182893327,0
