sample,mutation_count,min_distance,location,max_distance,s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,seed
S14,667,7.280109889,edge,276.4868894,0,0.3,0,1,0.6,8,14
S15,672,28.16025568,edge,276.4868894,0,0.3,0,1,0.6,8,14
S16,623,48.76474136,edge,276.4868894,0,0.3,0,1,0.6,8,14
S17,560,69.8140387,center,276.4868894,0,0.3,0,1,0.6,8,14
S18,551,74.81310046,center,276.4868894,0,0.3,0,1,0.6,8,14
S19,559,60.16643583,edge,276.4868894,0,0.3,0,1,0.6,8,14
S20,617,38.60051813,edge,276.4868894,0,0.3,0,1,0.6,8,14
S21,635,17.02938637,edge,276.4868894,0,0.3,0,1,0.6,8,14
S22,748,11.18033989,edge,276.4868894,0,0.3,0,1,0.6,8,14
S23,659,30.6757233,edge,276.4868894,0,0.3,0,1,0.6,8,14
S24,604,52.20153254,edge,276.4868894,0,0.3,0,1,0.6,8,14
S25,592,75.18643495,center,276.4868894,0,0.3,0,1,0.6,8,14
S26,544,83.81527307,center,276.4868894,0,0.3,0,1,0.6,8,14
S27,570,64.88451279,edge,276.4868894,0,0.3,0,1,0.6,8,14
S28,603,42.15447782,edge,276.4868894,0,0.3,0,1,0.6,8,14
S29,678,19,edge,276.4868894,0,0.3,0,1,0.6,8,14
S30,649,23.02172887,edge,276.4868894,0,0.3,0,1,0.6,8,14
S31,633,42.72001873,edge,276.4868894,0,0.3,0,1,0.6,8,14
S32,575,57.38466694,edge,276.4868894,0,0.3,0,1,0.6,8,14
S33,563,61.32699243,edge,276.4868894,0,0.3,0,1,0.6,8,14
S34,569,52.49761899,edge,276.4868894,0,0.3,0,1,0.6,8,14
S35,633,33.54101966,edge,276.4868894,0,0.3,0,1,0.6,8,14
S36,649,11.40175425,edge,276.4868894,0,0.3,0,1,0.6,8,14
S37,734,10.29563014,edge,276.4868894,0,0.3,0,1,0.6,8,14
S38,666,25.49509757,edge,276.4868894,0,0.3,0,1,0.6,8,14
S39,608,35.35533906,edge,276.4868894,0,0.3,0,1,0.6,8,14
S40,593,38.63935817,edge,276.4868894,0,0.3,0,1,0.6,8,14
S41,616,31.30495168,edge,276.4868894,0,0.3,0,1,0.6,8,14
S42,659,18.86796226,edge,276.4868894,0,0.3,0,1,0.6,8,14
S43,715,5,edge,276.4868894,0,0.3,0,1,0.6,8,14
S44,657,12.04159458,edge,276.4868894,0,0.3,0,1,0.6,8,14
S45,662,15.65247584,edge,276.4868894,0,0.3,0,1,0.6,8,14
S46,709,8.062257748,edge,276.4868894,0,0.3,0,1,0.6,8,14
S1,718,4,edge,282.1364918,0,0.3,0,1,0.6,8,15
S2,726,15,edge,282.1364918,0,0.3,0,1,0.6,8,15
S3,661,25.63201124,edge,282.1364918,0,0.3,0,1,0.6,8,15
S4,642,28,edge,282.1364918,0,0.3,0,1,0.6,8,15
S5,631,22.56102835,edge,282.1364918,0,0.3,0,1,0.6,8,15
S6,614,13.41640786,edge,282.1364918,0,0.3,0,1,0.6,8,15
S7,698,15.8113883,edge,282.1364918,0,0.3,0,1,0.6,8,15
S8,663,35.38361203,edge,282.1364918,0,0.3,0,1,0.6,8,15
S9,611,47.92702787,edge,282.1364918,0,0.3,0,1,0.6,8,15
S10,561,52,edge,282.1364918,0,0.3,0,1,0.6,8,15
S11,573,44.77722635,edge,282.1364918,0,0.3,0,1,0.6,8,15
S12,593,29.15475947,edge,282.1364918,0,0.3,0,1,0.6,8,15
S13,603,8.544003745,edge,282.1364918,0,0.3,0,1,0.6,8,15
S14,644,25.49509757,edge,282.1364918,0,0.3,0,1,0.6,8,15
S15,573,46.61544808,edge,282.1364918,0,0.3,0,1,0.6,8,15
S16,567,68.47627326,edge,282.1364918,0,0.3,0,1,0.6,8,15
S17,541,74.94664769,center,282.1364918,0,0.3,0,1,0.6,8,15
S18,551,62.16912417,edge,282.1364918,0,0.3,0,1,0.6,8,15
S19,538,40.49691346,edge,282.1364918,0,0.3,0,1,0.6,8,15
S20,647,18.86796226,edge,282.1364918,0,0.3,0,1,0.6,8,15
S21,702,7.810249676,edge,282.1364918,0,0.3,0,1,0.6,8,15
S22,597,30.3644529,edge,282.1364918,0,0.3,0,1,0.6,8,15
S23,602,52.39274759,edge,282.1364918,0,0.3,0,1,0.6,8,15
S24,517,75,center,282.1364918,0,0.3,0,1,0.6,8,15
S25,520,88.25531145,center,282.1364918,0,0.3,0,1,0.6,8,15
S26,513,68.47627326,edge,282.1364918,0,0.3,0,1,0.6,8,15
S27,533,46.32493929,edge,282.1364918,0,0.3,0,1,0.6,8,15
S28,614,23.02172887,edge,282.1364918,0,0.3,0,1,0.6,8,15
S29,580,21.9544984,edge,282.1364918,0,0.3,0,1,0.6,8,15
S30,573,43.32435804,edge,282.1364918,0,0.3,0,1,0.6,8,15
S31,529,59.05929224,edge,282.1364918,0,0.3,0,1,0.6,8,15
S32,499,66.12110102,edge,282.1364918,0,0.3,0,1,0.6,8,15
S33,544,55.22680509,edge,282.1364918,0,0.3,0,1,0.6,8,15
S34,567,36.40054945,edge,282.1364918,0,0.3,0,1,0.6,8,15
S35,600,15,edge,282.1364918,0,0.3,0,1,0.6,8,15
S36,656,12.08304597,edge,282.1364918,0,0.3,0,1,0.6,8,15
S37,570,28.28427125,edge,282.1364918,0,0.3,0,1,0.6,8,15
S38,541,38.20994635,edge,282.1364918,0,0.3,0,1,0.6,8,15
S39,553,42.19004622,edge,282.1364918,0,0.3,0,1,0.6,8,15
S40,543,35.11409973,edge,282.1364918,0,0.3,0,1,0.6,8,15
S41,589,23.40939982,edge,282.1364918,0,0.3,0,1,0.6,8,15
S42,630,6.708203932,edge,282.1364918,0,0.3,0,1,0.6,8,15
S43,603,5.656854249,edge,282.1364918,0,0.3,0,1,0.6,8,15
S44,613,14.56021978,edge,282.1364918,0,0.3,0,1,0.6,8,15
S45,597,18.43908891,edge,282.1364918,0,0.3,0,1,0.6,8,15
S46,581,12.52996409,edge,282.1364918,0,0.3,0,1,0.6,8,15
S47,661,3,edge,282.1364918,0,0.3,0,1,0.6,8,15
S1,742,5,edge,280.7222827,0,0.3,0,1,0.6,8,16
S2,726,16.15549442,edge,280.7222827,0,0.3,0,1,0.6,8,16
S3,666,24.08318916,edge,280.7222827,0,0.3,0,1,0.6,8,16
S4,658,29,edge,280.7222827,0,0.3,0,1,0.6,8,16
